""	"Axis1"	"Axis2"	"Axis3"	"sample_type"
"HMP2_J00887_1_ST_T0_B0_0122_ZKFV71L-04_AA31J"	-0.486773957773195	-1.13963092832851	-1.8545405617357	"IS"
"HMP2_J00888_1_ST_T0_B0_0120_ZK4CK8Y-02_AA31J"	-4.00955474484882	6.36027673460183	-3.06345189369254	"IS"
"HMP2_J00889_1_ST_T0_B0_0120_ZK4CK8Y-03_AA31J"	-1.92657898284929	2.7616634641848	-1.93364986003339	"IS"
"HMP2_J00890_1_ST_T0_B0_0120_ZK4CK8Y-04_AA31J"	-2.17868509775171	2.1064172605479	0.88788708886036	"IS"
"HMP2_J00892_1_ST_T0_B0_0122_ZJTKAE3-02_AA31J"	-3.81275904825791	0.733891283112704	-4.68453053146265	"IR"
"HMP2_J00893_1_ST_T0_B0_0122_ZJTKAE3-04_AA31J"	-2.07059436617762	0.550641621558027	-1.63514920679633	"IR"
"HMP2_J04182_1_ST_T0_B0_0122_ZN0JE53-04_AAH7B"	-2.27265776685307	6.09136673758726	-4.37230030041742	"IS"
"HMP2_J05381_1_ST_T0_B0_0120_ZOZOW1T-48bST_AAH7B"	-0.882022792155172	2.93675240379064	-2.34103261511712	"IS"
"HMP2_J05383_1_ST_T0_B0_0120_ZOZOW1T-49ST_AAH7B"	-2.26274427343193	3.16010874999872	1.60435410399485	"IS"
"HMP2_J05385_1_ST_T0_B0_0120_ZOZOW1T-53ST_AAH7B"	-1.31449082203812	2.90646785189344	0.827139807071031	"IS"
"HMP2_J05391_1_ST_T0_B0_0120_ZOZOW1T-55ST_AAH7B"	-1.82264821094802	2.18960554959089	2.24449016164225	"IS"
"HMP2_J05393_1_ST_T0_B0_0120_ZOZOW1T-56ST_AAH7B"	-1.34235475493748	2.26936923485789	2.02026691963379	"IS"
"HMP2_J05401_1_ST_T0_B0_0120_ZOZOW1T-59ST_AAH7B"	-1.41270562102121	3.00210202336575	1.12025347496318	"IS"
"HMP2_J05404_1_ST_T0_B0_0120_ZN9YTFN-03_AAH7B"	-6.35142362507582	6.75580437416638	-1.14120867957593	"IS"
"HMP2_J05409_1_ST_T0_B0_0122_ZMBH10Z-04_AAH7B"	-13.7702374281573	-7.00807634380431	-2.22820197656722	"IS"
"HMP2_J05418_1_ST_T0_B0_0120_ZLZNCLZ-03_AAH7B"	-6.95101002896589	12.256688008856	-5.15900271504845	"IS"
"HMP2_J05420_1_ST_T0_B0_0120_ZLZNCLZ-1011_AAH7B"	-5.83464680286988	10.4200900925739	-3.72893136234704	"IS"
"HMP2_J05422_1_ST_T0_B0_0122_ZLZNCLZ-1012_AAH7B"	-7.72570143041045	12.6548395088445	-4.17838896806491	"IS"
"HMP2_J05447_1_ST_T0_B0_0120_ZK4CK8Y-01_AAH7B"	-1.77322988159559	1.88061494107701	2.69761859166407	"IS"
"HMP2_J08148_1_ST_T0_B0_0120_ZOZOW1T-82_ACNUP"	0.369259937049329	0.0658229946664816	1.23550272190932	"IS"
"HMP2_J08168_1_ST_T0_B0_0120_ZVNCGHM-6012_ACNUP"	-1.074346730394	1.33553086678457	2.33608391845656	"IS"
"HMP2_J09104_1_ST_T0_B0_0120_ZM7JY3G-05_ADM3N"	-1.1943616668299	2.10540429276087	1.78822133954843	"IR"
"HMP2_J09105_1_ST_T0_B0_0120_ZM7JY3G-07_ADM3N"	-0.556984633986368	1.88723125690056	1.29358761155492	"IR"
"HMP2_J09111_1_ST_T0_B0_0120_ZKFV71L-05X_ADM3N"	-0.171245921901026	0.484602053435925	2.58041179900225	"IS"
"HMP2_J09112_1_ST_T0_B0_0120_ZK4CK8Y-05_ADM3N"	-0.611867623596505	0.99348645236935	1.47513781921648	"IS"
"HMP2_J09113_1_ST_T0_B0_0120_ZK4CK8Y-06_ADM3N"	-1.30431282530062	1.15989172648857	2.12839845596373	"IS"
"HMP2_J09115_1_ST_T0_B0_0120_ZLGD9M0-08_ADM3N"	-4.31384238412501	5.28451127306838	0.0161693942772684	"IS"
