SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
nRPLC_315.2541_9.4	53387.59	69254.98733	42106.32895	61821.56444
nRPLC_327.2538_10.5	15341.97271	34107.196	28555.23689	3726.302111
nRPLC_329.2487_10.7	2236783.786	3026705.067	3409078.105	2342271.278
nRPLC_331.2644_10.9	918796.0857	1338234.08	1526399.121	797660.8222
nRPLC_333.2799_11.2	42202.39	49321.13867	72372.76474	37247.70667
nRPLC_335.2957_11.7	18399.53886	23217.1082	29970.03105	18729.66244
nRPLC_343.2853_9.8	12624.95786	38794.354	15859.01463	11633.59411
nRPLC_351.254_10.3	30998.455	130218.602	66673.60158	14595.18978
nRPLC_355.2643_10.9	50255.88	22188.49467	60145.53316	77952.30111
nRPLC_355.2852_11	13884.27264	27350.636	63713.72842	2158.497622
nRPLC_357.2801_11.2	51686.66286	38948.86667	71702.87579	67541.00444
nRPLC_359.2957_11.5	25768.12	35201.356	45287.44421	24170.62778
nRPLC_365.2333_9.7	159130.8143	164043.44	157165.1053	146364.2333
nRPLC_367.1582_8.7	4949779.357	3611091.633	2307919.021	5199755.111
nRPLC_367.1585_8.9	21914592.86	17738186	9885840.421	22280624.44
nRPLC_369.1729_8.9	700525.0786	553625.54	546134.7279	1172022.6
nRPLC_369.1741_9.5	7318730.786	4002287.333	5349145.342	6504278.444
nRPLC_375.254_10.2	17033.53164	55248.22667	22403.20463	6466.174333
nRPLC_377.2696_10.5	41293.12429	130981.5553	45888.05211	7431.930111
nRPLC_377.2698_9.2	11833.58879	10442.88167	16280.83737	872.3746222
nRPLC_385.332_10.8	9012.131786	15066.67847	13227.03511	1546.7284
nRPLC_391.2856_9.2	426141.3857	74426.73867	132617.8079	51956.77
nRPLC_391.2856_9.5	324747.7857	244280.4067	258823.2784	318225.7444
nRPLC_391.2856_9.8	488533.4	348625.26	427011.1053	129032.7067
nRPLC_395.1897_10	272378.4071	494251.4333	47338.81842	183899.8333
nRPLC_407.2804_9.2	71430.57786	229787.236	78722.35316	31765.55444
nRPLC_409.3322_11.2	17092.11821	32355.37467	24436.93753	1940.480278
nRPLC_411.127_3.6	15727.29857	39931.894	15803.15495	15778.65444
nRPLC_415.3217_10.9	66681.84429	56385.934	46847.47789	40485.66889
nRPLC_415.3217_11.4	378250.8357	452138.1333	229625.5421	286949.4222
nRPLC_429.3008_10.3	372476.2071	372231.5933	560760.5474	236995.4556
nRPLC_439.3792_11.1	39713.31357	62086.216	48546.98368	6012.246556
nRPLC_441.3947_11.3	79741.43286	145986.9267	100666.3295	11912.88811
nRPLC_441.395_11.2	33731.60571	69966.786	41366.65789	5021.171956
nRPLC_448.3067_8.6	608959.7107	174955.2767	115190.6563	44530.26878
nRPLC_448.3069_9.4	4732188.971	2855040.58	1001298.505	424915.8111
nRPLC_450.2624_9.5	46605.315	32819.23993	66233.99211	102261.2778
nRPLC_455.2472_11	117351.865	186078.9067	106596.7347	116756.3356
nRPLC_464.3015_8.8	1126478.982	963571.8867	102559.8563	118641.82
nRPLC_465.2489_8.6	251979.0071	149836.2067	132044.1028	232446.3222
nRPLC_465.249_8.3	114986.0964	91227.75733	60424.90137	241017.5222
nRPLC_478.2939_10.1	685609.6143	1126016.607	1376662.242	1001279.356
nRPLC_495.2962_9.1	63290.95286	147811.5267	22310.02474	141214.3944
nRPLC_498.2892_10.3	2039983.029	524364.8933	179502.2568	264851.9978
nRPLC_508.3404_10.6	103783.9693	127826.96	140116.6311	88741.55444
nRPLC_512.2683_10.8	103222.1914	156963.732	145192.8068	219070.5678
nRPLC_514.2838_9.6	673972.1864	199323.418	25704.31937	88054.04222
nRPLC_514.2853_8.8	44728.78371	111661.4287	16446.94532	62063.83422
nRPLC_526.2939_9.9	162017.81	217150.6133	368710.8632	224253.9778
nRPLC_528.309_10.2	26283.60143	44498.178	64947.44684	32772.61
nRPLC_539.2489_8.8	211443.8514	172282.9153	73488.75947	811100.4333
nRPLC_539.2494_7	626068.7714	492223.3533	497283.5579	381151.6778
nRPLC_597.3048_11.9	12775.41264	27199.36733	14308.55753	21966.53389
nRPLC_619.2888_11.3	450348.2786	597088.6333	630849.6	389317.7111
pHILIC_104.0705_8.1	121494.0421	208053.3933	205681.6332	142215.7222
pHILIC_104.1069_6.6	10510008.21	11500324.53	11967547.26	10034678
pHILIC_114.0661_2.5	76570615.71	107157612.7	60946702.63	86351610
pHILIC_118.0861_7	37983150.71	59659699.33	43824350.53	26437467.78
pHILIC_130.0862_7.6	963839.7786	1866405.12	1443571.232	1836175.933
pHILIC_132.0766_9	726806.2714	613951.5667	910029.1421	542042.4667
pHILIC_133.097_16.1	1892668.857	1954123.333	2323888.684	1446279.444
pHILIC_137.0457_3.1	3262759.357	2497554.4	3590128.316	3002324
pHILIC_139.0501_7.6	158312.3871	179962.1333	338587.2526	173801.6333
pHILIC_144.1018_6.7	3551121.643	19350289.8	4188645.295	5295435.556
pHILIC_146.0811_7.5	213263.0743	781716.42	575032.2842	1136348.95
pHILIC_146.1175_11	2028390.929	3002202.467	1930169.316	1504678.556
pHILIC_147.0763_9.7	566228.8714	434295.826	565556.0526	395689.3778
pHILIC_147.1126_15.9	4574301.571	5285407.867	5898636.105	3869083.111
pHILIC_150.0581_7	1960922	1804076.2	2389992.842	1644691.111
pHILIC_157.0607_8.3	143965.7	105065.8207	83825.36053	139898.6933
pHILIC_158.1174_6.2	478950.4929	512825.3667	321234.9105	321076.2889
pHILIC_160.0967_7.5	191800.2471	1548393.293	425580.6016	371300.96
pHILIC_161.1283_16.4	3791290	595778.1267	1346054.179	3974975.667
pHILIC_166.0861_6.2	6257796.929	7837041.867	5961570.947	5273168.744
pHILIC_170.0923_8.5	1670192.714	2762554.067	1497626.168	2462912.778
pHILIC_175.1188_15.1	13087072.93	20607059.33	16048548	13027711.11
pHILIC_178.0532_7.5	122863.6636	36007.0764	222387.9789	87988.59556
pHILIC_182.081_7.7	3992485.929	4821745.4	4931540.737	2832296.111
pHILIC_189.1233_8.4	85641.28857	120400.3607	96392.50211	89175.4
pHILIC_189.1345_14.4	723551.5286	1244510.44	1393575.811	965426.2111
pHILIC_189.1596_18.3	1017709.6	972926.6533	616910.7526	726953.4556
pHILIC_203.1501_13.6	2566039	2804346.4	2639180.421	2333056.111
pHILIC_205.0969_6.7	10447961.64	11760421.4	10118252.95	10706713.78
pHILIC_216.1227_7	412024.0643	214145.4	478246.3547	219749.3578
pHILIC_218.1384_7.3	2494871.571	895596.3267	3501272.316	1473422.333
pHILIC_219.0795_5	1025570.829	873691	816140.1053	1662991.333
pHILIC_229.1181_10.5	191882.0786	78099.22067	109173.8668	101487.4433
pHILIC_229.1181_10.9	384351.55	245096.1313	225150.45	250540.7222
pHILIC_247.1437_5.3	1335744.334	1616085.867	499553.7153	1596835.386
pHILIC_249.1077_10.8	1412910.243	1811047.485	1731774.832	1459417.011
pHILIC_249.1078_10.4	2679717.357	2702152.467	3041334.158	2619004.556
pHILIC_258.1097_10.8	362116.1714	1671692.442	439897.1683	327190.7111
pHILIC_269.1239_8.3	163045.0071	320868.5667	201816.4663	157831.2222
pHILIC_276.1548_13.2	62461.16286	60164.92667	69053.59158	42222.39111
pHILIC_280.1384_8	79345.20421	170795.276	188115.8347	33590.44778
pHILIC_282.119_6.7	578766.4857	494707.1	509013.7158	600233.4889
pHILIC_288.2161_5.8	4325994	3843391.867	3647145	8109106.889
pHILIC_290.1593_10.7	2179274.691	57866.22533	2724777.802	7183895.649
pHILIC_290.1594_11	151050.4	41491.32683	171197.1948	198336.2667
pHILIC_298.1139_4.7	54054.83357	65130.122	53503.99421	49779.45
pHILIC_302.3046_1.8	216912.8571	273543.2733	304936.3947	230363.7111
pHILIC_360.2736_6.1	278294.6436	30145.12227	493049.4305	510359.0489
pHILIC_372.31_5.6	314664.0286	226825.8267	420541.8158	515180.6778
pHILIC_400.3413_5.6	589812.5429	637990.4133	739842.8579	589885.1667
pHILIC_428.3736_5.5	92468.155	128471.6113	152596.2495	87212.59444
pHILIC_542.3221_6	5401713.214	2534998.467	4498020.795	4123487.491
pHILIC_583.2539_5.3	1077762.036	1112933.047	1623695.089	594091.2111
pHILIC_585.2694_4.9	1438264.45	318616.2999	1568164.895	2351282.678
