""	"CS1"	"CS2"	"CS3"	"feature"
"174846"	-0.141987943803209	0.300057203341827	-0.021504342287804	"174846"
"213885"	-0.0992714322576421	0.0960822961205963	-0.234901027222099	"213885"
"179649"	-0.165509029824439	0.278414601581863	0.234651658595385	"179649"
"370287"	-0.14504541736624	0.35082854063123	0.0496777358748606	"370287"
"347690"	-0.123061853174956	0.197780980524567	-0.0616218692600011	"347690"
"564334"	-0.0741664676649156	-0.121348366481896	-0.165532175186921	"564334"
"353791"	-0.129672076123529	0.236970136166571	-0.1947827448353	"353791"
"842596"	-0.136090050698958	0.173878758989483	0.184506672240648	"842596"
"364563"	-0.155481484531958	0.315874433341023	0.238030348710414	"364563"
"365118"	-0.14273744334311	0.105558010327905	-0.137523844599609	"365118"
"179987"	-0.158034602006641	0.337521826918296	0.192822655316147	"179987"
"365717"	-0.13369724440784	0.274961076601513	-0.155444450725803	"365717"
"195457"	-0.136169091746337	0.186648005550246	-0.244099881517613	"195457"
"nHILIC_303.2327_1"	0.213539938444275	0.110299308304314	-0.222508322458335	"nHILIC"
"nRPLC_377.2696_10.5"	0.30023497134852	0.146478853869394	0.148689592027414	"nRPLC_"
"nRPLC_441.3947_11.3"	0.240178885439466	0.1812974563148	-0.357061448140626	"nRPLC_"
"nRPLC_441.395_11.2"	0.250893917950469	0.17696593379525	-0.338582996377036	"nRPLC_"
"nRPLC_409.3322_11.2"	0.292417619200446	0.146432601211021	-0.0376551975907112	"nRPLC_"
"nRPLC_439.3792_11.1"	0.277989176481185	0.208429271792649	-0.268029441198554	"nRPLC_"
"nRPLC_355.2852_11"	0.22093221017843	0.126003616628296	0.169982909748908	"nRPLC_"
"nRPLC_327.2538_10.5"	0.242961386483676	0.0978753239013367	0.259399602825557	"nRPLC_"
"nRPLC_351.254_10.3"	0.288718779492681	0.107563842942125	0.200506914367294	"nRPLC_"
"nRPLC_375.254_10.2"	0.283386165613351	0.0907796778212279	0.223810347805504	"nRPLC_"
"nRPLC_299.2228_9.6"	0.262611893791598	0.129094944377928	0.116897567901772	"nRPLC_"
