taxa 	top.coef
360518	0.022461565
580629	-0.015322479
325503	-0.014482428
572476	0.007939646
530327	0.006921867
592925	0.006609804
327050	-0.00629779
589277	-0.006100717
530653	0.005202694
529940	-0.004583921
365372	-0.004200643
304211	0.004128621
1105984	-0.003384581
357582	-0.003318759
209685	-0.003156169
322715	0.002995646
591785	0.002980193
1703712	0.002886911
367456	0.00279756
365965	0.002778139
