""	"CS1"	"CS2"	"CS3"	"feature"
"174846"	-0.152708716626171	0.134511334698288	-0.177438766257524	"174846"
"213885"	-0.0972506908540411	-0.00254789168655645	-0.19701996344725	"213885"
"179649"	-0.194061343397483	0.20055900520212	0.184442655499364	"179649"
"370287"	-0.164005150855826	0.184230884100231	-0.0725986276702856	"370287"
"347690"	-0.130147473543603	0.0586735528673261	-0.210550932162845	"347690"
"564334"	-0.0519346958524916	-0.133407172386009	-0.0959842476059888	"564334"
"206513"	-0.0768999940035718	-0.0867313423820395	-0.17227017464096	"206513"
"527041"	-0.15980108487679	0.143019801149333	0.155269384599726	"527041"
"353791"	-0.136578623579208	0.0990047792883016	-0.256969638469673	"353791"
"842596"	-0.151938400982691	0.115819970741051	0.104703839397071	"842596"
"362327"	-0.107819486144075	-0.00061390793343466	-0.114515851584413	"362327"
"181422"	-0.174152899795859	0.182433995495337	0.109068945381975	"181422"
"364563"	-0.199153042968245	0.247639493318027	0.146360237436086	"364563"
"359314"	-0.104466534926405	0.036101999159821	0.0207389341885112	"359314"
"365118"	-0.137311410336335	0.0170690202920614	-0.203159729071117	"365118"
"179987"	-0.194068834510356	0.234399276415595	0.120878500659055	"179987"
"365717"	-0.146272574903478	0.124421899806035	-0.275274171585597	"365717"
"86170"	-0.181713467266647	0.235436253558292	0.114821900715026	"86170"
"205148"	-0.123112466423499	0.0825706288135074	0.135741587927229	"205148"
"196246"	-0.173346005941056	0.203489452302226	0.1157721555689	"196246"
"176269"	-0.158019573323063	0.106174896997962	-0.00412754586669193	"176269"
"195086"	-0.15265438008262	0.176076584804966	-0.168190840369939	"195086"
"195457"	-0.127352275484761	0.0341324036868286	-0.338671420975034	"195457"
"179291"	-0.139226991457062	0.133153138545335	-0.0404893850659455	"179291"
"177732"	-0.162788941178192	0.137160069956896	0.0264197922165039	"177732"
"364926"	-0.0668515816070172	-0.102952174513972	-0.272343373158374	"364926"
"194646"	-0.0914729777471321	-0.0855037737027916	-0.322940354771815	"194646"
"nHILIC_303.2327_1"	0.172029659023372	0.163566778349157	-0.17466706417546	"nHILIC"
"nRPLC_377.2696_10.5"	0.233817384999691	0.248542683195718	0.0243905828177009	"nRPLC_"
"nRPLC_441.3947_11.3"	0.190066149134054	0.213022502377936	-0.205636607587847	"nRPLC_"
"nRPLC_441.395_11.2"	0.199115402665869	0.21510062989791	-0.199778207309233	"nRPLC_"
"nRPLC_409.3322_11.2"	0.233915252403144	0.235421244393982	-0.0445724271369568	"nRPLC_"
"nRPLC_439.3792_11.1"	0.214998165638673	0.255197190488155	-0.191764291032869	"nRPLC_"
"nRPLC_327.2538_10.5"	0.183999376355632	0.175285047839914	0.0522890108541664	"nRPLC_"
"nRPLC_351.254_10.3"	0.227655068939727	0.215182209194629	0.0264214030945803	"nRPLC_"
"nRPLC_375.254_10.2"	0.222636495283946	0.199766762250105	0.055034499967361	"nRPLC_"
"nRPLC_299.2228_9.6"	0.204285854441674	0.222413041521888	-0.0148951309180963	"nRPLC_"
