HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB04400	-22918.74538	1586440.511	-0.085846471	0.9318814	0.977265235	-4.595119899
HMDB11129	6432.045131	840792.3442	0.069630745	0.944724873	0.986857922	-4.595119899
HMDB00672	-965.7689656	141908.5779	-0.06461524	0.948700492	0.986857922	-4.595119899
HMDB11558	1421.724837	134920.897	0.057967444	0.953971974	0.986857922	-4.595119899
HMDB03099	10105.4575	1069288.342	0.056779117	0.954914502	0.986857922	-4.595119899
HMDB10408	-671.3713581	159582.6401	-0.053589318	0.957444826	0.986857922	-4.595119899
HMDB13464	53702.18384	14962213.57	0.04516012	0.964133377	0.986857922	-4.595119899
HMDB11686	-634.9839833	48638.36972	-0.043479935	0.965466926	0.986857922	-4.595119899
HMDB11558	558.9797478	62046.77074	0.043474917	0.965470908	0.986857922	-4.595119899
HMDB11531	64.43543839	14990.91304	0.03941641	0.968692513	0.987027387	-4.595119899
HMDB0000518	2307.891768	539671.4722	0.026521006	0.978931979	0.992127116	-4.595119899
HMDB11539	-193.8399892	63611.9664	-0.023814032	0.981081936	0.992127116	-4.595119899
HMDB11550	71.63860567	30466.27766	0.016220133	0.987113928	0.992127116	-4.595119899
HMDB00594	34.53875487	34756.48492	0.016109527	0.987201791	0.992127116	-4.595119899
HMDB00767	-1655.269134	3687435.503	-0.01377602	0.989055515	0.992127116	-4.595119899
HMDB0000895	-1005.614272	1835176.067	-0.008737896	0.993057965	0.993057965	-4.5951199
