HMDB	fold_change	pval	adj_pval
HMDB02007	-0.197758594	0.235217316	0.607801544
HMDB02994	-0.208662518	0.25117164	0.642179886
HMDB33433	0.211105052	0.252497974	0.642179886
HMDB00207	0.076536453	0.255315159	0.644271848
HMDB00036	-0.141009745	0.273695444	0.675210025
HMDB00730	0.082443462	0.273786699	0.675210025
HMDB00296	-0.103167757	0.27384679	0.675210025
HMDB00715	0.151293663	0.278204246	0.680757358
HMDB01032	0.292172774	0.284795471	0.691646144
HMDB12104	0.327835389	0.288578294	0.695602902
HMDB10738	0.118553731	0.290771218	0.695697063
HMDB00292	-0.149940158	0.302545374	0.717386181
HMDB0000746	0.240476259	0.308728748	0.717386181
HMDB00772	0.127441989	0.311072741	0.717386181
HMDB11553	0.293918448	0.312425531	0.717386181
HMDB00114	0.171537084	0.312770408	0.717386181
HMDB0000518	0.248384887	0.313162388	0.717386181
HMDB00157	0.158035552	0.319987178	0.72176914
HMDB11482	-0.104054936	0.32019153	0.72176914
HMDB00656	-0.137720254	0.321779431	0.72176914
HMDB00172	-0.108322152	0.324392014	0.722611175
HMDB04824	0.406776186	0.330182447	0.724662238
HMDB02759	0.244778253	0.332222511	0.724662238
HMDB04666	0.194710233	0.332457327	0.724662238
HMDB11686	0.218448992	0.334286915	0.724662238
HMDB00671	0.134611015	0.338308907	0.724923794
HMDB03072	0.115511933	0.338896263	0.724923794
HMDB10407	-0.18183584	0.349927132	0.739426948
HMDB01383	0.219762608	0.35025487	0.739426948
HMDB12107	-0.070035975	0.354103992	0.740644114
HMDB61677	0.053647795	0.355417454	0.740644114
HMDB00054	0.212149514	0.360879813	0.74720628
HMDB06547	0.063019167	0.364330668	0.748808037
HMDB33724	-0.396462313	0.366289999	0.748808037
HMDB00177	0.089866544	0.371587299	0.754859733
HMDB04193	0.216870398	0.375625083	0.757670027
HMDB03073	0.044447336	0.37960411	0.757670027
HMDB00182	-0.127513414	0.382297748	0.757670027
HMDB00714	0.130395538	0.387160656	0.757670027
HMDB13326	0.170898101	0.387590191	0.757670027
HMDB12108	-0.160176254	0.397972752	0.757670027
HMDB00187	-0.079006724	0.399117479	0.757670027
HMDB00792	0.068115605	0.399813079	0.757670027
HMDB0000619	-0.115731173	0.404379911	0.757670027
HMDB00301	-0.417828132	0.404992718	0.757670027
HMDB00682	-0.069657496	0.404993265	0.757670027
HMDB00329	0.188496811	0.408774376	0.757670027
HMDB10357	-0.15561885	0.418709545	0.757670027
HMDB00943	0.079999165	0.419035552	0.757670027
HMDB13331	-0.062480828	0.421185594	0.757670027
