""	"x"
"155"	"pHILIC_249.1077_10.8"
"156"	"nRPLC_153.0193_2.1"
"157"	"nHILIC_209.0302_11"
"158"	"nHILIC_195.051_8.7"
"159"	"nHILIC_105.0192_7.8"
"160"	"pHILIC_258.1097_10.8"
"161"	"nHILIC_74.0246_9.6"
"162"	"nRPLC_464.3015_8.8"
"163"	"pRPLC_180.0654_2"
"164"	"pHILIC_189.1345_14.4"
"165"	"pHILIC_158.1174_6.2"
"166"	"nHILIC_181.0506_6.2"
"167"	"pHILIC_137.0457_3.1"
"168"	"pHILIC_157.0607_8.3"
"169"	"nHILIC_132.0302_8.3"
"170"	"nHILIC_174.056_3.8"
"171"	"nHILIC_302.1148_6.5"
"172"	"nHILIC_204.0665_5.1"
"173"	"pRPLC_204.0655_4.8"
"174"	"pHILIC_146.0811_7.5"
"175"	"nRPLC_188.0352_3.1"
"176"	"nRPLC_117.0557_0.6"
"177"	"nHILIC_274.1407_12.3"
"178"	"nHILIC_88.0403_8.9"
"179"	"pHILIC_175.1188_15.1"
"180"	"nHILIC_131.0461_9.7"
"181"	"pRPLC_162.1123_0.6"
"182"	"nHILIC_120.0124_7.6"
"183"	"nHILIC_296.0378_11"
"184"	"nHILIC_239.0164_12.1"
"185"	"nHILIC_235.0723_6.5"
"186"	"nHILIC_168.0276_10.3"
"187"	"pHILIC_147.0763_9.7"
"188"	"nHILIC_154.0621_9.6"
"189"	"nHILIC_130.0872_6.3"
"190"	"nHILIC_89.0243_5.8"
"191"	"pHILIC_147.1126_15.9"
"192"	"nHILIC_133.0142_10.4"
"193"	"pHILIC_150.0581_7"
"194"	"pHILIC_166.0861_6.2"
"195"	"nHILIC_114.0559_7.8"
"196"	"nHILIC_104.0352_9.7"
"197"	"nHILIC_118.0509_8.9"
"198"	"pHILIC_205.0969_6.7"
"199"	"pHILIC_182.081_7.7"
"200"	"nHILIC_116.0716_7.3"
"201"	"pRPLC_468.3085_9.3"
"202"	"pRPLC_482.324_9.7"
"203"	"pRPLC_496.3395_10"
"204"	"pRPLC_494.324_9.5"
"205"	"pRPLC_510.3554_10.3"
