	logFC	AveExpr	t	P.Value	adj.P.Val	B
nHILIC_121.0505_3.5	-109079.5722	167536.541	-1.305216531	0.196925994	0.69138148	-4.595119816
pHILIC_218.1384_7.3	366899.6257	2099216.466	1.295264653	0.200313625	0.693174509	-4.595119818
pHILIC_288.2161_5.8	1927661.91	4862097.912	1.291144589	0.201728804	0.693174509	-4.595119818
nRPLC_215.1288_6.8	-3368.566657	11718.41252	-1.268771992	0.209544193	0.70070442	-4.595119821
nHILIC_130.0509_8.8	17374.96042	170675.1913	1.255830203	0.214166643	0.70070442	-4.595119822
nRPLC_465.249_8.3	-17391.34469	93361.65222	-1.253876866	0.214870824	0.70070442	-4.595119823
pHILIC_203.1501_13.6	90970.34662	2596276.425	1.250250814	0.216182557	0.70070442	-4.595119823
nRPLC_201.1133_5.9	-3437.460654	12523.11172	-1.24899826	0.216637043	0.70070442	-4.595119823
pRPLC_368.2795_7.7	84963.24504	340942.6377	1.240650129	0.219684167	0.70070442	-4.595119824
pHILIC_249.1077_10.8	-145476.2301	1794339.39	-1.236602752	0.221172795	0.70070442	-4.595119825
pHILIC_229.1181_10.9	-27152.31061	304574.2774	-1.236325389	0.22127508	0.70070442	-4.595119825
nRPLC_367.1582_8.7	756708.4052	4015907.465	1.227013091	0.224729454	0.704734113	-4.595119826
pRPLC_314.2328_6.1	178644.0826	591771.677	1.216648211	0.228620573	0.709526146	-4.595119827
pHILIC_132.0766_9	89201.72345	650232.2067	1.205227027	0.232964975	0.709526146	-4.595119828
pHILIC_731.6033_5.7	279033.0435	3218588.186	1.202563738	0.233986622	0.709526146	-4.595119829
nRPLC_357.2801_11.2	9113.693473	66188.09619	1.19738629	0.23598202	0.709526146	-4.595119829
pRPLC_572.3708_10.3	-34484.89787	219100.6854	-1.194136102	0.237240941	0.709526146	-4.59511983
nRPLC_225.186_10	35485.35902	228031.4663	1.179551608	0.242949995	0.713311591	-4.595119831
nRPLC_188.0352_3.1	-2103.635966	18329.50918	-1.177498266	0.243761661	0.713311591	-4.595119831
pHILIC_372.31_5.6	52144.19909	317261.4612	1.169062814	0.247116607	0.713311591	-4.595119832
nRPLC_239.0924_7.1	-2069261.004	7175989.715	-1.168503457	0.247340242	0.713311591	-4.595119833
nRPLC_263.1289_6.8	14391.38494	50639.46615	1.140996929	0.258517354	0.735309921	-4.595119836
pRPLC_494.324_9.5	648048.6768	5882375.851	1.13497318	0.261012286	0.735309921	-4.595119836
nHILIC_188.9862_0.9	-1830465.729	3191715.35	-1.125206312	0.265093764	0.735309921	-4.595119837
nRPLC_369.1741_9.5	1398562.692	7819695.369	1.124438264	0.265416626	0.735309921	-4.595119837
nRPLC_367.1585_8.9	2618839.798	16687513.19	1.122220046	0.266350653	0.735309921	-4.595119838
pRPLC_232.1543_0.9	-29352.24328	276014.895	-1.08571157	0.282057249	0.763642271	-4.595119841
nRPLC_619.2888_11.3	66532.88304	651104.4588	1.072370906	0.287954336	0.763642271	-4.595119843
pRPLC_269.2264_10.4	54641.56738	760101.2928	1.067322784	0.290207893	0.763642271	-4.595119843
nRPLC_395.1897_10	37654.03135	198157.0006	1.063637649	0.291860662	0.763642271	-4.595119844
pHILIC_170.0923_8.5	-129199.9955	1912130.961	-1.059630072	0.293665396	0.763642271	-4.595119844
pRPLC_426.3576_9.5	34965.6579	577595.0461	1.058673966	0.294097093	0.763642271	-4.595119844
nHILIC_425.0806_12.4	-23858.83852	208739.292	-1.055185346	0.295675956	0.763642271	-4.595119845
pRPLC_676.417_10.7	-6207.82689	26935.99688	-1.054707844	0.295892514	0.763642271	-4.595119845
nHILIC_274.1407_13.3	8132.113971	159590.9858	1.050311631	0.297891412	0.763642271	-4.595119845
pRPLC_260.1858_3.3	49507.10594	108705.1808	1.044209449	0.300681298	0.764724875	-4.595119846
nRPLC_448.3069_9.4	796283.3969	2748728.037	1.035467519	0.304709093	0.767778111	-4.595119847
pRPLC_100.0756_1.2	60967.20056	265107.1539	1.031313528	0.30663584	0.767778111	-4.595119847
pHILIC_130.0862_7.6	-204012.7801	1454206.591	-1.025876217	0.309170317	0.768169325	-4.595119848
pRPLC_510.3913_10.9	-25376.82828	208545.1427	-1.009153682	0.317053935	0.770992558	-4.595119849
pHILIC_189.1596_18.3	-148071.1643	1036108.176	-1.005391741	0.318845929	0.770992558	-4.59511985
pRPLC_370.2952_8.2	121873.4446	611998.8972	0.999787355	0.321528159	0.770992558	-4.59511985
nRPLC_253.2172_10.3	1040561.646	10702815.24	0.998859612	0.321973626	0.770992558	-4.59511985
nHILIC_174.056_3.8	-50425.70789	420063.0143	-0.988281241	0.327082164	0.770992558	-4.595119851
nRPLC_271.2279_9.6	26475.67684	439410.6617	0.988105751	0.327167365	0.770992558	-4.595119851
nRPLC_163.0765_7.4	-10898.0357	69815.83598	-0.980439346	0.330903859	0.770992558	-4.595119852
nRPLC_285.2071_9.2	-4056.507623	64261.08162	-0.974277252	0.333927623	0.770992558	-4.595119853
pRPLC_508.376_10.5	-42541.61468	673426.8715	-0.969267685	0.336399267	0.770992558	-4.595119853
nHILIC_128.0352_7.6	1631776.801	6963662.009	0.968485799	0.336786124	0.770992558	-4.595119853
nHILIC_274.1407_12.3	11795.69816	282251.1332	0.966537489	0.337751375	0.770992558	-4.595119853
pRPLC_352.1657_3.7	5115.985524	71262.06823	0.964122643	0.338950289	0.770992558	-4.595119854
nRPLC_117.0557_0.6	-98559.67369	738494.0048	-0.931208221	0.355570318	0.785074077	-4.595119857
nRPLC_333.2799_11.2	4976.706234	52369.03311	0.929204638	0.356598779	0.785074077	-4.595119857
nHILIC_111.0199_3.4	-3042.179837	86880.19592	-0.926215057	0.358136935	0.785074077	-4.595119857
pHILIC_247.1437_5.3	-1394355.061	2621663.107	-0.917542216	0.362623345	0.785074077	-4.595119858
nHILIC_130.0872_6.3	246763.076	5575696.502	0.917264246	0.362767731	0.785074077	-4.595119858
nRPLC_149.0607_4.6	-22855.24093	84867.43717	-0.913052092	0.364960182	0.785074077	-4.595119858
nHILIC_327.2328_1	29892.45141	201766.3402	0.904827338	0.369265631	0.785074077	-4.595119859
nHILIC_131.0461_9.7	-4358.339963	129253.5249	-0.902613727	0.370429912	0.785074077	-4.595119859
nRPLC_495.2962_9.1	206095.8682	182685.2467	0.901772318	0.370873075	0.785074077	-4.595119859
nRPLC_597.3048_11.9	-4067.105948	27022.9539	-0.899957113	0.371830279	0.785074077	-4.595119859
nRPLC_131.0714_1.6	-12585.22688	158492.3732	-0.894791823	0.374562657	0.785074077	-4.59511986
nHILIC_481.244_5.2	6242.527035	64678.17963	0.89022294	0.376990128	0.785074077	-4.59511986
