HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB00462	0.023607851	6.005612218	0.356146662	0.722975423	0.891419253	-6.10343427
HMDB00510	0.076945411	5.05010513	1.873703793	0.06582555	0.475525885	-4.507750113
HMDB00205	0.00994262	5.205738458	0.274224426	0.78485063	0.900089489	-6.128503551
HMDB01868	-0.053879203	5.364462336	-0.634779061	0.5279769	0.805477693	-5.969778443
HMDB00148	0.071446383	4.76889186	1.721346933	0.090321785	0.500902503	-4.759939138
HMDB00479	-0.051419873	5.536372407	-0.506742304	0.614186095	0.838499139	-6.040450345
HMDB00197	-0.036514951	5.589511314	-0.873677463	0.38576463	0.742158562	-5.796284829
HMDB00904	-0.016408386	6.027899053	-0.668788957	0.506185799	0.789845474	-5.948376434
HMDB01015	-0.009004165	5.107845315	-0.449715337	0.654530281	0.85940358	-6.066869904
HMDB00078	-0.007739978	6.058835881	-0.28504005	0.776591459	0.900089489	-6.12556601
HMDB00707	-0.047160394	4.728954366	-0.737373408	0.463758699	0.784262094	-5.901876638
HMDB03099	0.062987631	5.950091057	0.916698878	0.362957017	0.742158562	-5.759341355
HMDB00755	-0.021253834	5.921098831	-0.749666472	0.456374289	0.784262094	-5.89307133
HMDB61116	-0.221168249	5.917151733	-2.799206105	0.006873117	0.15857262	-2.592763756
HMDB02302	-0.133296753	6.277949423	-1.387000268	0.170554132	0.577998062	-5.244786711
HMDB59724	-0.120885951	6.135604335	-0.945400117	0.348232534	0.740959715	-5.73373618
HMDB00094	-0.035506244	7.473445905	-2.29063007	0.025500575	0.355344967	-3.723080041
HMDB03072	0.000152208	5.988960392	0.001096796	0.999128509	0.999128509	-6.165048365
HMDB00625	-0.012004406	6.233902803	-0.319306235	0.750599315	0.900089489	-6.11551138
HMDB04400	0.047459969	6.093960891	0.515693999	0.607956299	0.83561653	-6.036019543
HMDB04400	0.005423837	6.223116116	0.074769758	0.940645724	0.967329921	-6.162330421
HMDB00671	-0.100618311	5.587091501	-3.566212048	0.000717053	0.03887457	-0.578627776
HMDB00663	-0.075141467	5.324153763	-1.619664441	0.110529916	0.526852841	-4.917506843
HMDB00682	0.032660864	7.316172376	0.653879474	0.515678665	0.793162898	-5.957894246
HMDB00114	0.008841477	5.642497027	0.528125676	0.599352909	0.83561653	-6.029738769
HMDB00210	-0.013065259	5.667530835	-0.249209995	0.804046381	0.908066367	-6.134863298
HMDB03818	0.072668712	6.294901507	0.967830102	0.337000165	0.738442029	-5.713193217
HMDB60485	-0.118756265	4.944653678	-1.428350114	0.158357172	0.574711985	-5.190056353
HMDB10325	0.012105253	5.495811156	0.680015195	0.499100715	0.789845474	-5.941070487
HMDB00192	0.011041692	6.686226795	0.317114699	0.752253376	0.900089489	-6.116188452
HMDB00296	-0.024720077	7.215732001	-1.285094227	0.203679992	0.587334455	-5.373224843
HMDB00767	0.000493197	6.563365616	0.032116206	0.974485587	0.988345303	-6.164547362
HMDB00884	-0.031583158	6.113393168	-1.714951693	0.091496123	0.500902503	-4.770105058
HMDB04207	0.023677245	5.445251309	1.300712377	0.198312296	0.582317015	-5.354138787
HMDB03869	0.027412296	5.196012021	1.322386851	0.191039804	0.579105057	-5.327291666
HMDB03073	0.181113267	5.564721274	3.069146635	0.003216694	0.115443584	-1.923070605
HMDB00673	0.068480012	6.565507778	1.836025217	0.071291792	0.475525885	-4.571891142
HMDB00207	0.070017709	6.645946171	1.897659059	0.062537706	0.475525885	-4.466371263
HMDB00788	0.013629219	4.999748437	0.54172405	0.590007375	0.83561653	-6.0226989
HMDB00709	-0.003925196	6.395617791	-0.159391003	0.873894204	0.939149063	-6.152697008
HMDB13240	-0.053397826	4.808274287	-0.707156192	0.482196985	0.789845474	-5.92291315
HMDB01043	0.004351924	5.462572163	0.072876034	0.942146276	0.967329921	-6.162466377
HMDB02183	0.051860131	5.240875108	0.850858354	0.398218591	0.742158562	-5.815178313
HMDB00289	0.048863466	7.561688808	2.504502822	0.014987045	0.265710008	-3.26975984
HMDB00656	-0.061975013	5.281015258	-1.279936729	0.20547614	0.587334455	-5.37947972
HMDB10351	0.019422862	4.760185792	0.314177201	0.754472281	0.900089489	-6.117088699
HMDB11483	0.088919245	4.860006517	1.097709376	0.27670115	0.698238059	-5.585111086
HMDB02639	-0.104277881	5.633329818	-1.365558919	0.177156499	0.577998062	-5.272574297
HMDB01008	-0.028373608	4.809506656	-0.42518809	0.672215075	0.868501877	-6.077270864
HMDB00123	-0.017017064	4.785312437	-1.023773054	0.310037465	0.725667399	-5.659928048
HMDB0000243	0.062930914	6.719543574	1.317481315	0.192667902	0.579105057	-5.333404497
HMDB00039	-0.022326181	5.010635678	-0.892858007	0.375487312	0.742158562	-5.780027387
HMDB00161	0.063013881	6.000231119	3.373128105	0.001303949	0.052646949	-1.116938034
HMDB02329	-0.113749489	5.192869443	-2.325097422	0.023454294	0.344351676	-3.652271809
HMDB00190	0.015597378	7.369496059	0.745668066	0.458768657	0.784262094	-5.89595099
HMDB00407	-0.046237926	5.827438549	-1.043357893	0.300952902	0.720536112	-5.64059854
HMDB0000491	0.008857634	6.933059878	0.377531711	0.707105806	0.88869718	-6.095822128
HMDB0000746	-0.033140169	5.179700709	-0.994296011	0.324057236	0.737116107	-5.688354503
HMDB00764	-0.382624399	4.725594965	-3.540592228	0.000777075	0.03887457	-0.65116514
HMDB00669	-0.150193108	4.604723205	-0.9981132	0.322218218	0.737116107	-5.68471856
HMDB00152	-0.188204356	4.702805553	-2.840521442	0.006135758	0.152449979	-2.49323851
HMDB00329	-0.051059971	4.782566518	-0.895321625	0.374179931	0.742158562	-5.77791433
HMDB10738	0.034479767	5.128658725	0.479075867	0.633619723	0.849208177	-6.053658051
HMDB00779	-0.086895383	4.766175193	-2.187184027	0.032623034	0.390268143	-3.930275653
HMDB11756	-0.015002461	4.079199265	-0.5292488	0.598578439	0.83561653	-6.029164043
HMDB60015	0.116985125	6.236915509	1.63714704	0.106815405	0.526852841	-4.891036459
HMDB00017	-0.060170348	4.522272824	-0.737657581	0.463587231	0.784262094	-5.901674703
HMDB33724	-0.045331275	5.058703134	-1.103780982	0.274079209	0.697067595	-5.578744681
HMDB0011635	-0.167500896	7.113914786	-2.396581588	0.019669945	0.317669604	-3.502640158
HMDB00784	0.012852813	5.066499888	0.562406672	0.575926588	0.834189632	-6.011651986
HMDB02203	0.015286726	5.306016633	0.381437501	0.704221153	0.888529033	-6.094384144
HMDB02203	-0.121745163	5.198204738	-2.926464816	0.00483013	0.130010994	-2.282715807
HMDB00715	-0.037316442	4.248374765	-1.289809365	0.202048174	0.587334455	-5.367485668
HMDB00529	0.064224648	5.086293879	0.892132319	0.375872968	0.742158562	-5.780648733
HMDB00529	0.050055318	5.225881787	0.952364277	0.344719227	0.740959715	-5.727407867
HMDB00603	0.006297901	4.348007909	0.15464741	0.87761643	0.939149063	-6.153421124
HMDB00792	-0.08924879	4.031282922	-1.602948633	0.114178634	0.526852841	-4.94257355
HMDB00792	0.000188426	4.336437102	0.00537038	0.995732828	0.998825166	-6.165034925
HMDB11621	-0.514663469	4.28245222	-4.459588715	3.65E-05	0.005891223	2.135649534
HMDB00512	0.016220283	3.96708204	0.441850975	0.660179695	0.862778152	-6.070267936
HMDB00888	-0.086195858	4.006342012	-1.614580528	0.111629506	0.526852841	-4.925155719
HMDB00387	0.014866358	4.579741276	0.451531483	0.653228503	0.85940358	-6.066076723
HMDB00387	0.021758589	5.163715298	0.505224131	0.615245498	0.838499139	-6.041194166
HMDB02000	0.067268572	5.306892676	1.243297067	0.218576987	0.602710395	-5.423230285
HMDB02000	0.057580926	5.933084315	0.932063485	0.355025528	0.742158562	-5.745729423
HMDB00806	0.019177501	6.194988546	0.573469507	0.568462315	0.827087062	-6.005575118
HMDB00623	-0.149897004	5.028588971	-2.93227784	0.004751861	0.130010994	-2.268308428
HMDB61112	-0.049039894	6.632770661	-0.386676172	0.700358936	0.887121319	-6.092432317
HMDB03229	0.060124321	6.998687463	1.408299623	0.164184222	0.577998062	-5.216782447
HMDB00872	0.004548091	4.961125901	0.117415526	0.906921511	0.948708981	-6.158345438
