""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"nRPLC_343.2853_9.8"	-0.263589870524914	4.25032119104894	-4.47512078983978	3.45450252412085e-05	0.00589122263697943	2.18562065823556
"nRPLC_204.0666_4.3"	-0.514663468702984	4.28245222035974	-4.4595887153768	3.64781587429067e-05	0.00589122263697943	2.13564953418898
"nRPLC_257.176_8.5"	-0.210772081042015	5.26722327368079	-3.70324286822007	0.00046404534297766	0.0388745697212012	-0.185115665423903
"nHILIC_204.0665_5.1"	-0.100618311343762	5.58709150119966	-3.56621204827769	0.000717053232897221	0.0388745697212012	-0.578627776401844
"pRPLC_180.0654_2"	-0.243596277555814	5.75434248683948	-3.55483679098863	0.000743137237254312	0.0388745697212012	-0.610875535196208
"nRPLC_149.0607_4.6"	-0.382624399233195	4.72559496521857	-3.54059222831033	0.000777075437126764	0.0388745697212012	-0.651165140182011
"nRPLC_315.2541_9.4"	-0.106632546385152	4.73223104393403	-3.5147345829158	0.000842482935134391	0.0388745697212012	-0.724037315800736
"nHILIC_88.0403_8.9"	0.0630138812014287	6.00023111875717	3.3731281046295	0.00130394921046649	0.0526469493725846	-1.11693803425314
"nHILIC_277.2171_1"	0.181113266520636	5.56472127350478	3.06914663507216	0.00321669429335337	0.115443584083682	-1.92307060487792
"pHILIC_157.0607_8.3"	-0.100238616033452	5.00617569223409	-2.94750640448398	0.0045523618047642	0.130010993911721	-2.23046505652899
"nRPLC_229.1445_7.4"	-0.14989700437762	5.02858897148272	-2.93227783979759	0.00475186108942219	0.130010993911721	-2.26830842755492
"nRPLC_187.134_7.5"	-0.121745162760889	5.19820473842633	-2.92646481612714	0.00483012980476981	0.130010993911721	-2.28271580702428
"nRPLC_153.0193_2.1"	-0.188204355735362	4.70280555301153	-2.84052144165849	0.00613575767732391	0.152449979213509	-2.49323850984745
"nHILIC_188.0023_1.6"	-0.221168249386218	5.91715173273955	-2.79920610539134	0.00687311665143314	0.158572619886636	-2.59276375586805
"pRPLC_286.2015_4.3"	0.122054344637796	5.79076417674458	2.73983840952419	0.00807615055877479	0.163089354349127	-2.7338321917516
"pHILIC_400.3413_5.6"	0.0585788336260045	5.80006968152253	2.7397201154311	0.00807872962720136	0.163089354349127	-2.73411096994754
"pHILIC_147.1126_15.9"	0.0379459101416023	6.7121202523138	2.66307763634597	0.00991774777091203	0.188437207647329	-2.91277453414369
"nHILIC_335.0495_8.3"	0.0488634664201267	7.56168880818078	2.50450282175104	0.0149870451939881	0.26571000812645	-3.26975984001625
"nRPLC_407.2804_9.2"	-0.341173967463508	5.18568405580261	-2.48802141236812	0.0156300004780265	0.26571000812645	-3.30586044611784
"nRPLC_187.007_2.3"	-0.167500895831536	7.11391478593279	-2.39658158805032	0.019669944520943	0.31766960401323	-3.50264015834123
"nHILIC_132.0302_8.3"	-0.0527568965750554	4.95696356395752	-2.34185702292355	0.0225131216504676	0.344351675667948	-3.61752536184521
"nHILIC_88.988_11"	-0.113749488998251	5.19286944324291	-2.32509742179212	0.0234542936987457	0.344351675667948	-3.65227180872829
"nHILIC_191.0197_11.2"	-0.0355062444105616	7.47344590476947	-2.29063006952835	0.0255005745547054	0.355344966689925	-3.72308004148396
"nRPLC_415.3217_11.4"	-0.0615180810631236	5.52836005441972	-2.2761989241029	0.0264033411781988	0.355344966689925	-3.75246547042343
"pHILIC_133.097_16.1"	0.0430172714814803	6.29934828551816	2.20554617433886	0.0312437040345795	0.390268143336066	-3.89408541080414
"nRPLC_313.2386_9.1"	-0.0507785079157731	4.9531555478942	-2.188722703954	0.0325054327451691	0.390268143336066	-3.92725286764808
"nRPLC_165.0556_2.3"	-0.0868953825648971	4.76617519255441	-2.18718402696905	0.0326230336534792	0.390268143336066	-3.93027565303382
"nRPLC_391.2856_9.2"	0.261550661532231	5.33799558932085	2.16624987727811	0.0342605225823599	0.393890548166393	-3.97122258905866
"pRPLC_195.0875_4.6"	0.166567899100893	6.491105679085	2.1526222113163	0.035364786058283	0.393890548166393	-3.99769850064566
"nRPLC_429.3008_10.3"	0.0507415043363263	5.59759490980781	2.10270162395836	0.0396800205365614	0.415518408552865	-4.09346703333244
"pRPLC_265.1184_2.6"	-0.131617906503969	5.86745236626487	-2.10051072951776	0.0398794757434638	0.415518408552865	-4.09762605638873
"nRPLC_307.2644_11"	0.0777642222445843	6.061341965171	2.08379823875201	0.0414298458843032	0.418182506894686	-4.12922930799355
"pHILIC_276.1548_13.2"	0.0458274847662699	4.79245047945797	2.04313002728695	0.0454226922368745	0.444591805833651	-4.20522448410003
"pRPLC_504.3082_10"	0.0853728299900675	5.26192925316735	2.02100551985686	0.0477314279173839	0.453448565215147	-4.24602396612893
"nRPLC_263.1289_6.8"	0.30635746299945	4.40239330532341	1.9918029078953	0.0509330378278059	0.470039177668037	-4.29928562325024
"nRPLC_335.2957_11.7"	0.0796455627992862	4.35255059229664	1.97055951585515	0.053376342202386	0.47552588462978	-4.337606460355
"pHILIC_158.1174_6.2"	-0.128382082362223	5.71129710906371	-1.93423877904096	0.0577862895759056	0.47552588462978	-4.40229259506204
"nHILIC_133.0506_2.3"	-0.24042274789515	5.07404689480371	-1.93054749639572	0.0582513815502814	0.47552588462978	-4.40880759615273
"pHILIC_114.0661_2.5"	-0.0355727819452909	7.90118063008659	-1.9230042449109	0.0592117302826139	0.47552588462978	-4.42208720858314
"nHILIC_281.2484_1"	0.0700177092553514	6.64594617116321	1.89765905928732	0.0625377062691515	0.47552588462978	-4.46637126298935
"pHILIC_302.3046_1.8"	0.0420502667803726	5.41391629393611	1.89179286627389	0.0633296924763605	0.47552588462978	-4.47654708073253
"nHILIC_133.0506_4.4"	-0.141393398959895	5.04051890765464	-1.88887244607082	0.0637271312908365	0.47552588462978	-4.48160263243793
"pHILIC_288.2161_5.8"	0.100193905172267	6.60543537316504	1.8742271977525	0.0657521819118588	0.47552588462978	-4.50685098206506
"nHILIC_160.0615_10.7"	0.0769454107149875	5.05010513024655	1.8737037933741	0.0658255499808638	0.47552588462978	-4.50775011259516
"nRPLC_267.233_10.6"	0.0728990288257516	5.91220583646693	1.86475595918384	0.067090545917284	0.47552588462978	-4.52308676735158
"pHILIC_189.1345_14.4"	0.072287186353274	6.13409490349834	1.859556701895	0.067834966607002	0.47552588462978	-4.5319684591168
"nHILIC_279.2328_1"	0.06848001244069	6.56550777848501	1.83602521693778	0.0712917920737218	0.47552588462978	-4.57189114154141
"nRPLC_311.2957_11.4"	-0.0895888309808954	5.23527934619075	-1.82964502503472	0.0722541690064414	0.47552588462978	-4.58263767793933
"nHILIC_151.0261_4.3"	0.0471306330218811	6.00727211831376	1.82539538158301	0.0729012093814729	0.47552588462978	-4.58977713288248
"nRPLC_315.2539_9.7"	-0.123742709013918	4.1178819696229	-1.82077102140813	0.0736108180541455	0.47552588462978	-4.59752931996922
"nRPLC_313.2385_10.3"	0.047543410490775	5.43997141873133	1.80594323567868	0.0759252945323953	0.48086019870517	-4.62226809680652
"pRPLC_382.2719_9.6"	-0.0742697218422857	4.60884549156355	-1.77007135894557	0.0817771652351438	0.500902502709106	-4.68136889590223
"pRPLC_424.3421_9.2"	0.0594634175804854	5.6010466731354	1.76106038719345	0.0833047088092335	0.500902502709106	-4.69604797570214
"nRPLC_305.2486_10.7"	0.0549463224565595	6.18391036757993	1.75124817201237	0.0849949478519256	0.500902502709106	-4.71195579433921
"pHILIC_161.1283_16.4"	0.131815085704904	6.23668086579783	1.7392405499776	0.0871019456926874	0.500902502709106	-4.73131413436135
"pHILIC_104.1069_6.6"	0.0268247533233435	7.06218528976347	1.73687155627937	0.0875226998380734	0.500902502709106	-4.73511920295555
"nRPLC_391.2856_9.5"	0.120949060016291	5.60055110873161	1.73066018690083	0.0886338797553992	0.500902502709106	-4.74507370393252
"nHILIC_168.0276_10.3"	0.0714463829382955	4.7688918599906	1.72134693335436	0.090321784592906	0.500902502709106	-4.75993913785712
"nHILIC_257.0777_2.2"	-0.031583157638519	6.11339316755211	-1.7149516927354	0.0914961227858738	0.500902502709106	-4.77010505815752
"pHILIC_160.0967_7.5"	-0.177843837140748	5.69435818070457	-1.67978508508895	0.0981803479788222	0.524020919563135	-4.82539470360323
"pRPLC_478.2927_9.7"	0.0603093892450158	6.63851764768452	1.67579346381478	0.0989637030753909	0.524020919563135	-4.83160484735054
"nHILIC_135.0299_7.9"	-0.0364581188379683	6.3733551839832	-1.66356595560612	0.101395222930437	0.52685284111626	-4.85054490700682
"nRPLC_450.2624_9.5"	0.111010380835696	4.81464427805496	1.65472302301613	0.103183913374085	0.52685284111626	-4.86416385521603
"nRPLC_172.9914_0.9"	0.116985125403762	6.23691550878742	1.637147040267	0.106815404936291	0.52685284111626	-4.89103645909341
"pHILIC_585.2694_4.9"	0.182925235369351	6.18650858580338	1.62307832894329	0.109796465543514	0.52685284111626	-4.91235824584559
"nHILIC_209.0302_11"	-0.0751414671043121	5.32415376311704	-1.61966444107025	0.110529915928659	0.52685284111626	-4.91750684324053
"nRPLC_215.1288_6.8"	-0.0861958578674464	4.00634201194331	-1.61458052751149	0.11162950619765	0.52685284111626	-4.92515571895482
"pRPLC_312.2171_5.4"	0.077752247508132	4.76545357016063	1.6072962033691	0.11322042076626	0.52685284111626	-4.93607688188953
"nRPLC_498.2892_10.3"	0.189852998725177	5.610924047763	1.60459038648548	0.113816022247379	0.52685284111626	-4.94012213313042
"nRPLC_201.1133_5.9"	-0.0892487895779121	4.03128292156258	-1.60294863308673	0.114178634297642	0.52685284111626	-4.94257355018386
"nRPLC_377.2698_9.2"	0.170429352774396	4.03990190870759	1.56315217138598	0.123256997976772	0.553879923735515	-5.00129290871419
"pHILIC_360.2736_6.1"	0.21370128233272	5.15983254812257	1.55401896478503	0.125419940564981	0.553879923735515	-5.01457770857143
"nRPLC_271.228_10.3"	0.0300458834783006	5.80271279818293	1.55072869043989	0.126206539072879	0.553879923735515	-5.01934607510841
"nRPLC_295.2642_11.1"	0.0620879750518278	5.54787239928796	1.5478619473602	0.126895090886774	0.553879923735515	-5.02349306890468
"nHILIC_131.0349_5.1"	-0.0379769295673086	5.29515825020844	-1.51979759318477	0.133795078095547	0.56816772720513	-5.06371722569872
"pRPLC_538.3863_10.8"	-0.0456049025919168	5.11580274290397	-1.51878619106926	0.134049193617635	0.56816772720513	-5.06515418069867
"pRPLC_552.402_11.1"	-0.0650048892125597	4.8511838441295	-1.51325549920058	0.135445557259427	0.56816772720513	-5.07299632326878
"pHILIC_132.0766_9"	0.0756079089905127	5.76973649020973	1.50292624637042	0.13808425710519	0.571159540207394	-5.08757172307561
"pRPLC_314.2328_6.1"	0.0761047488053172	5.70697573018313	1.49669597443696	0.139695367419146	0.571159540207394	-5.0963185112126
"nRPLC_619.2888_11.3"	0.0570958376082688	5.7870620040543	1.47830551260429	0.144537599906287	0.574711985339982	-5.12194101353588
"nRPLC_333.2799_11.2"	0.0610403023060117	4.68904769840641	1.46796858478051	0.147316656431001	0.574711985339982	-5.13621403490592
"nHILIC_121.0505_3.5"	-0.0974294576050987	5.07142094236168	-1.46610279614224	0.1478227013234	0.574711985339982	-5.13878038004265
"pHILIC_428.3736_5.5"	0.0498820085983569	5.08374828344845	1.46190027287903	0.148967509240344	0.574711985339982	-5.14454974842472
"pRPLC_352.2248_8.5"	-0.045063170016733	5.16258421747682	-1.45332005008991	0.151326375294374	0.574711985339982	-5.1562812159292
"pRPLC_260.1858_3.3"	0.0793273033998723	4.92825402701202	1.45286338585224	0.151452733915686	0.574711985339982	-5.15690380038096
"pHILIC_205.0969_6.7"	0.0227891820272248	7.07345998470274	1.44721517352513	0.15302240850943	0.574711985339982	-5.16458914727838
"nRPLC_448.3067_8.6"	0.175514010850665	5.2726159689622	1.43408338214698	0.156720830604498	0.574711985339982	-5.18234953069523
"pHILIC_229.1181_10.9"	-0.0434439227631098	5.4678098595855	-1.43141996383375	0.157479359548966	0.574711985339982	-5.18593334908606
"nHILIC_235.0723_6.5"	-0.118756264569612	4.94465367756345	-1.42835011351528	0.158357172431141	0.574711985339982	-5.19005635347277
"pHILIC_150.0581_7"	0.0266641084499043	6.31104382396733	1.42072279489957	0.160554615093175	0.576212674167728	-5.20026462240705
"nRPLC_253.2172_10.3"	0.060124321246083	6.99868746298074	1.40829962291157	0.164184221854755	0.577998061921351	-5.21678244718846
"pHILIC_731.6033_5.7"	0.0450864411425814	6.49046986416012	1.40278770816969	0.165814761917296	0.577998061921351	-5.22406771368233
"pHILIC_175.1188_15.1"	0.0238222377856372	7.23821204442534	1.39145950578304	0.169205050337339	0.577998061921351	-5.2389567447113
"nHILIC_188.0716_2.1"	-0.133296753077583	6.27794942301078	-1.38700026806456	0.170554131730733	0.577998061921351	-5.24478671119861
"nHILIC_146.0458_7.6"	0.0176107231312162	5.84196637254627	1.37681793231301	0.173665607225606	0.577998061921351	-5.25803336435164
"nHILIC_118.0509_8.9"	0.023516625145079	6.23104766210278	1.37277611752552	0.174912673695149	0.577998061921351	-5.26326620606662
